Ankray,Orday,Artpay ofay eechspay,Equencyfray,Ispersionday
1,ethay,aay,22038615,0.98
2,ebay,vay,12545825,0.97
3,anday,cay,10741073,0.99
4,ofay,iay,10343885,0.97
5,aay,aay,10144200,0.98
6,inay,iay,6996437,0.98
7,otay,tay,6332195,0.98
8,avehay,vay,4303955,0.97
9,otay,iay,3856916,0.99
10,itay,pay,3872477,0.96
11,Iay,pay,3978265,0.93
12,atthay,cay,3430996,0.97
13,orfay,iay,3281454,0.98
14,ouyay,pay,3081151,0.92
15,ehay,pay,2909254,0.94
16,ithay,iay,2683014,0.99
17,onay,iay,2485306,0.99
18,oday,vay,2573587,0.95
19,aysay,vay,1915138,0.95
20,isthay,day,1885366,0.96
21,eythay,pay,1865580,0.96
22,atay,iay,1767638,0.98
23,utbay,cay,1776767,0.97
24,eay,pay,1820935,0.94
25,ishay,aay,1801708,0.95
26,omfray,iay,1635914,0.99
27,atthay,day,1712406,0.94
28,otnay,xay,1638830,0.98
29,n'tay,xay,1619007,0.97
30,ybay,iay,1490548,0.96
31,eshay,pay,1484869,0.91
32,oray,cay,1379320,0.97
33,asay,cay,1296879,0.98
34,atwhay,day,1181023,0.94
35,ogay,vay,1151045,0.93
36,eirthay,aay,1083029,0.97
37,ancay,vay,1022775,0.98
38,owhay,pay,1018283,0.97
39,etgay,vay,992596,0.94
40,ifay,cay,933542,0.97
41,oulday,vay,925515,0.97
42,erhay,aay,969591,0.91
43,allay,day,892102,0.98
44,ymay,aay,919821,0.93
45,akemay,vay,857168,0.98
46,aboutay,iay,874406,0.96
47,owknay,vay,892535,0.93
48,illay,vay,824568,0.97
49,asay,iay,829018,0.95
50,upay,ray,795534,0.95
51,oneay,may,768232,0.98
52,imetay,nay,764657,0.98
53,erethay,eay,784528,0.96
54,earyay,nay,769254,0.96
55,osay,ray,756550,0.95
56,inkthay,vay,772787,0.91
57,enwhay,cay,678626,0.98
58,ichwhay,day,685982,0.96
59,emthay,pay,677870,0.97
60,omesay,day,674193,0.98
61,emay,pay,709623,0.92
62,eoplepay,nay,691468,0.95
63,aketay,vay,670745,0.97
64,outay,ray,678603,0.96
65,intoay,iay,668172,0.97
66,ustjay,ray,677711,0.94
67,eesay,vay,663645,0.96
68,imhay,pay,677707,0.92
69,ouryay,aay,659622,0.94
70,omecay,vay,628254,0.95
71,ouldcay,vay,617932,0.96
72,ownay,ray,605997,0.94
73,anthay,cay,579757,0.97
74,ikelay,iay,568850,0.96
75,otheray,jay,547799,0.97
76,owhay,ray,538893,0.97
77,enthay,ray,543977,0.95
78,itsay,aay,539719,0.96
79,ouray,aay,525107,0.97
80,otay,may,511027,0.99
81,oremay,ray,517536,0.97
82,esethay,day,513864,0.95
83,antay,vay,514972,0.95
84,ayay,nay,470401,0.98
85,ooklay,vay,491707,0.93
86,irstfay,may,463566,0.98
87,alsoay,ray,464606,0.96
88,ewnay,jay,435993,0.97
89,ecausebay,cay,438539,0.96
90,ayday,nay,432773,0.97
91,oremay,day,420170,0.97
92,useay,vay,420781,0.96
93,onay,aay,402222,0.98
94,anmay,nay,409760,0.95
95,indfay,vay,395203,0.98
96,erehay,ray,412315,0.93
97,ingthay,nay,400724,0.94
98,ivegay,vay,384503,0.98
99,anymay,day,385348,0.97
100,ellay,ray,411776,0.91
101,onlyay,ray,379574,0.98
102,osethay,day,378007,0.97
103,elltay,vay,388155,0.94
104,oneay,pay,369553,0.98
105,eryvay,ray,391821,0.92
106,erhay,pay,397950,0.89
107,evenay,ray,361067,0.98
108,ackbay,ray,367844,0.94
109,anyay,day,348100,0.98
110,oodgay,jay,353973,0.96
111,omanay,nay,341422,0.98
112,oughthray,iay,340921,0.98
113,usay,pay,351088,0.95
114,ifelay,nay,333085,0.98
115,ildchay,nay,333849,0.97
116,erethay,ray,333433,0.93
117,orkay,vay,318210,0.98
118,ownday,ray,329409,0.94
119,aymay,vay,324569,0.95
120,afteray,iay,311902,0.98
121,ouldshay,vay,310265,0.98
122,allcay,vay,308050,0.97
123,orlday,nay,303506,0.97
124,overay,iay,300349,0.98
125,oolschay,nay,304183,0.95
126,illstay,ray,296953,0.97
127,ytray,vay,294023,0.96
128,inay,ray,285035,0.98
129,asay,ray,281483,0.98
130,astlay,may,289843,0.95
131,askay,vay,284632,0.96
132,eednay,vay,276744,0.98
133,ootay,ray,280396,0.96
134,eelfay,vay,275214,0.95
